artist,title,position,year,youtube_link,spotify_link,base_year,origin
#LikeMe Cast,Maak Me Gek,88,2025,https://www.youtube.com/watch?v=7dCXBnzSKJo,https://open.spotify.com/track/0nDvaZcvZSorLtHrNUEQzN,2025,radio_2_zomerhits
#LikeMe Cast,Zomernacht,535,2025,https://www.youtube.com/watch?v=UeQSxlFDQBE,https://open.spotify.com/track/5SI50ooVIVLvptAtFvBtwC,2025,radio_2_zomerhits
'NSYNC,Bye Bye Bye,219,2000,https://www.youtube.com/watch?v=Eo-KmOd3i7s,https://open.spotify.com/track/4r8lRYnoOGdEi6YyI5OC1o,2020,qmusic_foute_1500
'NSYNC,I Want You Back,1054,1996,https://www.youtube.com/watch?v=is6gtilerPk,https://open.spotify.com/track/221LRlPHPuevgE1tuUlof9,2020,qmusic_foute_1500
'NSYNC,Tearin' Up My Heart,580,1997,https://www.youtube.com/watch?v=_ZcmuKsyvzg,https://open.spotify.com/track/73q3FpQVXWk5eSUnyo83E4,2020,qmusic_foute_1500
'NSYNC,Thinking Of You (I Drive Myself Crazy),847,1999,https://www.youtube.com/watch?v=cdI-xLUoneQ,https://open.spotify.com/track/2lFmoFR906U2ztvMMuJ0ep,2020,qmusic_foute_1500
't Hof Van Commerce,Dommestik En Levrancier,588,1998,https://www.youtube.com/watch?v=NQ1Dndal8io,https://open.spotify.com/track/61m4nmwgTx3pno9djyPFdO,2022,willy_top1000
1000 Ohm,A.G.N.E.S.,1962,1981,https://www.youtube.com/watch?v=bj-q9SiUQ5g,https://open.spotify.com/track/1vYiArOSCByyEjtgqauaLV,2015,joe_top2000
10cc,Donna,1144,1972,https://www.youtube.com/watch?v=jw5uhwunzSQ,https://open.spotify.com/track/0BmkLc8PwY27G7zs1mtdDF,2009,joe_top2000
10cc,Dreadlock Holiday,117,1978,https://www.youtube.com/watch?v=fUNTk5xsxk4,https://open.spotify.com/track/1LOZMYF5s8qhW7Rv4w2gun,2009,joe_top2000
10cc,Feel The Love (Oomachasaooma),1368,1983,https://www.youtube.com/watch?v=zNSmka_gLck,https://open.spotify.com/track/15vb7UNhJ5c5K4exsUk3B3,2009,joe_top2000
10cc,Good Morning Judge,1305,1977,https://www.youtube.com/watch?v=d5jczes_nMI,https://open.spotify.com/track/1fMGRxKRtIKNyaMMGrzInM,2003,Q_BE_top1000
10cc,I'm Mandy Fly Me,832,1975,https://www.youtube.com/watch?v=Wv8N6zSzL7k,https://open.spotify.com/track/4mmWv18Tz155oy6x7PEe3q,2000,Q_BE_top1000
10cc,I'm Not In Love,208,1975,https://www.youtube.com/watch?v=cgJckGsR-T0,https://open.spotify.com/track/4hNRDR5P1ik9ngRAjEQJRR,2009,joe_top2000
10cc,I'm Not In Love (Album Version),42,1975,https://www.youtube.com/watch?v=cgJckGsR-T0,https://open.spotify.com/track/5HQEmiV2lKnSO6qa2fsR7x,1999,Q_BE_top1000
