position,artist,title,year,youtube_link,spotify_link,base_year
1,Coldplay,A Sky Full Of Stars,2014,https://www.youtube.com/watch?v=VPRjCeoBqrI,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ,2025
2,Di-Rect,Soldier On,2020,https://www.youtube.com/watch?v=XEDs6CaYEuw,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie,2025
3,Ed Sheeran,Shape Of You,2015,https://www.youtube.com/watch?v=JGwWNGJdvx8,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2025
4,Lady GaGa & Bruno Mars,Die With A Smile,2024,https://www.youtube.com/watch?v=kPa7bsKwL-c,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,2025
5,Snollebollekes,Links Rechts,2015,https://www.youtube.com/watch?v=pFEDBewcfks,https://open.spotify.com/track/5EcPtaqxmPvgLcB5gRPF2j,2025
6,Coldplay,Fix You,2005,https://www.youtube.com/watch?v=k4V3Mo61fJM,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q,2025
7,Harry Styles,As It Was,2022,https://www.youtube.com/watch?v=H5v3kku4y6Q,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,2025
8,Suzan & Freek,Goud,2021,https://www.youtube.com/watch?v=MlBQ8-B99iw,https://open.spotify.com/track/3aViSiRTiK1e5OqJtUk3MS,2025
9,Avicii,Wake Me Up!,2013,https://www.youtube.com/watch?v=IcrbM1l_BoI,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2,2025
10,Danny Vera,Roller Coaster,2019,https://www.youtube.com/watch?v=uncjJbMPELI,https://open.spotify.com/track/1z2HAz6JcwfGHKMSgKEA3D,2025
11,Donnie & Chantal Janzen,SchultenbrÃ¤u,2023,https://www.youtube.com/watch?v=hrbJJ79LpOw,https://open.spotify.com/track/540BsMhL329p3KhB8ZZ7Ez,2025
12,Pharrell Williams,Happy,2013,https://www.youtube.com/watch?v=ZbZSe6N_BXs,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH,2025
13,Racoon,Oceaan,2012,https://www.youtube.com/watch?v=-OKB7wd7ems,https://open.spotify.com/track/4AUASx1KCTQFmpHu7qq6Kr,2025
14,Calvin Harris & Dua Lipa,One Kiss,2018,https://www.youtube.com/watch?v=DkeiKbqa02g,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2025
15,Dermot Kennedy,Better Days,2021,https://www.youtube.com/watch?v=3gqbE9jDI1g,https://open.spotify.com/track/48USW4aYqrylYWJmFPbC8A,2025
16,Natasha Bedingfield,Unwritten,2004,https://www.youtube.com/watch?v=b7k0a5hYnSI,https://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf,2025
17,Ed Sheeran,Perfect,2017,https://www.youtube.com/watch?v=2Vv-BfVoq4g,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2025
18,Helene Fischer,Atemlos Durch Die Nacht,2013,https://www.youtube.com/watch?v=r_Bhy6us2qo,https://open.spotify.com/track/1cSXzDZt8vzuUp2XREQEJN,2025
19,Adele,Someone Like You,2011,https://www.youtube.com/watch?v=hLQl3WQQoQ0,https://open.spotify.com/track/1zwMYTA5nlNjZxYrvBB2pV,2025
20,Weeknd,Blinding Lights,2019,https://www.youtube.com/watch?v=4NRXx6U8ABQ,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2025
21,Coldplay,Viva La Vida,2008,https://www.youtube.com/watch?v=dvgZkm1xWPE,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,2025
22,Miss Montreal,Door De Wind,2020,https://www.youtube.com/watch?v=sMrRobr1rDE,https://open.spotify.com/track/6Njv3a2FaUu1Bft4FdTsyy,2025
23,Wildstylez & Niels Geusebroek,Year Of Summer,2012,https://www.youtube.com/watch?v=WA0t6ErCtus,https://open.spotify.com/track/3iKcDwqwMf6O547uQcyjaO,2025
24,Harry Styles,Sign Of The Times,2017,https://www.youtube.com/watch?v=qN4ooNx77u0,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV,2025
25,Justin Timberlake,Can't Stop The Feeling!,2016,https://www.youtube.com/watch?v=ru0K8uYEZWw,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI,2025
26,Lady GaGa & Bradley Cooper,Shallow,2018,https://www.youtube.com/watch?v=bo_efYhYU2A,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2025
27,Yves Berendse,Terug In De Tijd,2023,https://www.youtube.com/watch?v=ERSCR2cuqAU,https://open.spotify.com/track/0vrKBjEBQAVn3sdhIXmpHE,2025
28,Tom Odell,Another Love,2012,https://www.youtube.com/watch?v=MwpMEbgC7DA,https://open.spotify.com/track/7otCGmgp9h4CsR2LhwB6gt,2025
29,Black Eyed Peas,I Gotta Feeling,2009,https://www.youtube.com/watch?v=uSD4vsh1zDA,https://open.spotify.com/track/2H1047e0oMSj10dgp7p2VG,2025
30,One Direction,Story Of My Life,2013,https://www.youtube.com/watch?v=W-TE_Ys4iwM,https://open.spotify.com/track/4nVBt6MZDDP6tRVdQTgxJg,2025
31,Avicii,Levels,2011,https://www.youtube.com/watch?v=_ovdm2yX4MA,https://open.spotify.com/track/5UqCQaDshqbIk3pkhy4Pjg,2025
32,Disturbed,The Sound Of Silence,2015,https://www.youtube.com/watch?v=u9Dg-g7t2l4,https://open.spotify.com/track/1Cj2vqUwlJVG27gJrun92y,2025
33,David Guetta & Sia,Titanium,2011,https://www.youtube.com/watch?v=JRfuAukYTKg,https://open.spotify.com/track/0TDLuuLlV54CkRRUOahJb4,2025
34,Imagine Dragons,Believer,2017,https://www.youtube.com/watch?v=7wtfhZwyrcc,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2025
35,Luis Fonsi & Daddy Yankee,Despacito,2017,https://www.youtube.com/watch?v=kJQP7kiw5Fk,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,2025
36,Lewis Capaldi,Someone You Loved,2018,https://www.youtube.com/watch?v=bCuhuePlP8o,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2025
