position,artist,title,year,youtube_link,spotify_link,base_year
1,Pearl Jam,Black,1991,https://www.youtube.com/watch?v=qgaRVvAKoqQ,#MV,2019
2,Foo Fighters,Everlong,1997,https://www.youtube.com/watch?v=eBG7P-K-r1Y,#MV,2019
3,Muse,Knights Of Cydonia,2006,https://www.youtube.com/watch?v=G_sBOsh-vyI,#MV,2019
4,Nirvana,Smells Like Teen Spirit,1991,https://www.youtube.com/watch?v=hTWKbfoikeg,#MV,2019
5,Rage Against The Machine,Killing In The Name,1992,https://www.youtube.com/watch?v=bWXazVhlyxQ,#MV,2019
6,Metallica,Master Of Puppets,1986,https://www.youtube.com/watch?v=xnKhsTXoKCI,#MV,2019
7,Cure,A Forest,1980,https://www.youtube.com/watch?v=RGT4V6JmINA,#MV,2019
8,Queens Of The Stone Age,No One Knows,2002,https://www.youtube.com/watch?v=s88r_q7oufE,#MV,2019
9,Editors,Papillon,2009,https://www.youtube.com/watch?v=Wq4tyDRhU_4,#MV,2019
10,Killers,Mr. Brightside,2004,https://www.youtube.com/watch?v=gGdGFtwCNBE,#MV,2019
11,Pearl Jam,Alive,1992,https://www.youtube.com/watch?v=qM0zINtulhM,#MV,2019
12,Metallica,One,1988,https://www.youtube.com/watch?v=WM8bTdBs-cw,#MV,2019
13,Muse,Plug In Baby,2001,https://www.youtube.com/watch?v=dbB-mICjkQM,#MV,2019
14,Radiohead,Paranoid Android,1997,https://www.youtube.com/watch?v=fHiGbolFFGw,#MV,2019
15,Alice In Chains,Would,1992,https://www.youtube.com/watch?v=Nco_kh8xJDs,#MV,2019
16,Foo Fighters,The Pretender,2007,https://www.youtube.com/watch?v=SBjQ9tuuTJQ,#MV,2019
17,Staat,Witch Doctor,2013,https://www.youtube.com/watch?v=0ttGgIQpAUc,#MV,2019
18,Arctic Monkeys,I Bet You Look Good On The Dancefloor,2005,https://www.youtube.com/watch?v=pK7egZaT3hs,#MV,2019
19,Linkin Park,In The End,2001,https://www.youtube.com/watch?v=eVTXPUF4Oz4,#MV,2019
20,Underworld,Born Slippy,1996,https://www.youtube.com/watch?v=zU6cXizPeNU,#MV,2019
21,Oasis,Champagne Supernova,1996,https://www.youtube.com/watch?v=tI-5uv4wryI,#MV,2019
22,Rammstein,Deutschland,2019,https://www.youtube.com/watch?v=NeQM1c-XCDc,#MV,2019
23,Blur,Song 2,1997,https://www.youtube.com/watch?v=SSbBvKaM6sk,#MV,2019
24,System Of A Down,Chop Suey!,2001,https://www.youtube.com/watch?v=CSvFpBOe8eY,#MV,2019
25,Boxer Rebellion,Diamonds,2013,https://www.youtube.com/watch?v=HKTAXkpGceQ,#MV,2019
26,War On Drugs,Under The Pressure (Album Version),2014,https://www.youtube.com/watch?v=vkLOg252KRE,#MV,2019
27,Radiohead,Street Spirit (Fade Out),1996,https://www.youtube.com/watch?v=LCJblaUkkfc,#MV,2019
28,Beastie Boys,Sabotage,1994,https://www.youtube.com/watch?v=z5rRZdiu1UE,#MV,2019
29,Soundgarden,Black Hole Sun,1994,https://www.youtube.com/watch?v=3mbBbFH9fAg,#MV,2019
30,Radiohead,Creep,1992,https://www.youtube.com/watch?v=XFkzRNyygfk,#MV,2019
31,David Bowie,Heroes,1977,https://www.youtube.com/watch?v=lXgkuM2NhYI,#MV,2019
32,Korn,Freak On A Leash,1999,https://www.youtube.com/watch?v=jRGrNDV2mKc,#MV,2019
33,Arcade Fire,Rebellion (Lies),2004,https://www.youtube.com/watch?v=8vN2vqaEBhM,#MV,2019
34,Johnny Cash,Hurt,2002,https://www.youtube.com/watch?v=8AHCfZTRGiI,#MV,2019
35,Pearl Jam,Jeremy,1992,https://www.youtube.com/watch?v=bQtPzo-7AHs,#MV,2019
36,Tame Impala,Let It Happen (Album Version),2015,https://www.youtube.com/watch?v=pFptt7Cargc,#MV,2019
37,Pearl Jam,Just Breathe,2009,https://www.youtube.com/watch?v=XTb9GNIxpMk,#MV,2019
38,Editors,Smokers Outside The Hospital Doors,2007,https://www.youtube.com/watch?v=cEriPnwBKOA,#MV,2019
39,Nirvana,Lithium,1992,https://www.youtube.com/watch?v=pkcJEvMcnEg,#MV,2019
40,Tool,Schism,2001,https://www.youtube.com/watch?v=MM62wjLrgmA,#MV,2019
41,Metallica,Enter Sandman,1991,https://www.youtube.com/watch?v=CD-E-LDc384,#MV,2019
42,Queens Of The Stone Age,Go With The Flow,2003,https://www.youtube.com/watch?v=DcHKOC64KnE,#MV,2019
43,AC/DC,Thunderstruck,1990,https://www.youtube.com/watch?v=v2AC41dglnM,#MV,2019
44,Green Day,Basket Case,1994,https://www.youtube.com/watch?v=NUTGr5t3MoY,#MV,2019
45,A Perfect Circle,Judith,2000,https://www.youtube.com/watch?v=xTgKRCXybSM,#MV,2019
46,Pearl Jam,Even Flow,1991,https://www.youtube.com/watch?v=CxKWTzr-k6s,#MV,2019
47,Smashing Pumpkins,Disarm,1993,https://www.youtube.com/watch?v=d1acEVmnVhI,#MV,2019
48,Limp Bizkit,Break Stuff,1999,https://www.youtube.com/watch?v=ZpUYjpKg9KY,#MV,2019
49,Nirvana,Heart-Shaped Box,1993,https://www.youtube.com/watch?v=n6P0SitRwy8,#MV,2019
50,Joy Division,Love Will Tear Us Apart,1980,https://www.youtube.com/watch?v=zuuObGsB0No,#MV,2019
51,16 Horsepower,Black Soul Choir,1996,https://www.youtube.com/watch?v=f-vpAn15-vE,#MV,2019
52,Muse,Psycho,2015,https://www.youtube.com/watch?v=UqLRqzTp6Rk,#MV,2019
53,Slayer,Raining Blood,1986,https://www.youtube.com/watch?v=z8ZqFlw6hYg,#MV,2019
54,Nirvana,Come As You Are,1992,https://www.youtube.com/watch?v=vabnZ9-ex7o,#MV,2019
55,Radiohead,Exit Music (For A Film),1997,https://www.youtube.com/watch?v=Bf01riuiJWA,#MV,2019
56,Pixies,Where Is My Mind,1988,https://www.youtube.com/watch?v=N3oCS85HvpY,#MV,2019
57,Nothing But Thieves,Amsterdam,2017,https://www.youtube.com/watch?v=X2zcG3bcuMI,#MV,2019
58,Arctic Monkeys,Do I Wanna Know,2013,https://www.youtube.com/watch?v=bpOSxM0rNPM,#MV,2019
59,Elbow,One Day Like This,2008,https://www.youtube.com/watch?v=0NFV8dHrZYM,#MV,2019
60,Smiths,There Is A Light That Never Goes Out,1986,https://www.youtube.com/watch?v=siO6dkqidc4,#MV,2019
61,Muse,Bliss,2001,https://www.youtube.com/watch?v=eMqsWc8muj8,#MV,2019
62,Radiohead,Karma Police,1997,https://www.youtube.com/watch?v=1uYWYWPc9HU,#MV,2019
63,Foo Fighters,My Hero,1997,https://www.youtube.com/watch?v=EqWRaAF6_WY,#MV,2019
64,Temple Of The Dog,Hunger Strike,1991,https://www.youtube.com/watch?v=VUb450Alpps,#MV,2019
65,Oasis,Don't Look Back In Anger,1995,https://www.youtube.com/watch?v=r8OipmKFDeM,#MV,2019
66,Editors,Munich,2005,https://www.youtube.com/watch?v=ugWtuTmiGLM,#MV,2019
67,Placebo,The Bitter End,2003,https://www.youtube.com/watch?v=-JJAXwAaA2w,#MV,2019
68,Muse,New Born,2001,https://www.youtube.com/watch?v=qhduQhDqtb4,#MV,2019
69,War On Drugs,Red Eyes,2014,https://www.youtube.com/watch?v=1LmX5c7HoUw,#MV,2019
70,Arcade Fire,Everything Now,2017,https://www.youtube.com/watch?v=zC30BYR3CUk,#MV,2019
71,Coldplay,Fix You,2005,https://www.youtube.com/watch?v=k4V3Mo61fJM,#MV,2019
72,Deftones,My Own Summer (Shove It),1997,https://www.youtube.com/watch?v=XOzs1FehYOA,#MV,2019
73,Black Keys,Little Black Submarines,2011,https://www.youtube.com/watch?v=6k8es2BNloE,#MV,2019
74,Cult,She Sells Sanctuary,1985,https://www.youtube.com/watch?v=ZCOSPtyZAPA,#MV,2019
75,Rammstein,Engel,1997,https://www.youtube.com/watch?v=x2rQzv8OWEY,#MV,2019
76,Franz Ferdinand,Take Me Out,2004,https://www.youtube.com/watch?v=Ijk4j-r7qPA,#MV,2019
77,Alice In Chains,Rooster (Album Version),1992,https://www.youtube.com/watch?v=uAE6Il6OTcs,#MV,2019
78,Tool,Fear Inoculum,2019,https://www.youtube.com/watch?v=q7DfQMPmJRI,#MV,2019
79,Pink Floyd,Comfortably Numb (Album Version),1979,https://www.youtube.com/watch?v=zOyk5qnamjc,#MV,2019
80,System Of A Down,Toxicity,2001,https://www.youtube.com/watch?v=iywaBOMvYLI,#MV,2019
81,Verve,Bitter Sweet Symphony,1997,https://www.youtube.com/watch?v=1lyu1KKwC74,#MV,2019
82,Eels,Novocaine For The Soul,1996,https://www.youtube.com/watch?v=V2yy141q8HQ,#MV,2019
83,Rammstein,Du Hast,1997,https://www.youtube.com/watch?v=W3q8Od5qJio,#MV,2019
84,Band Of Horses,The Funeral,2006,https://www.youtube.com/watch?v=cMFWFhTFohk,#MV,2019
85,Beatles,A Day In The Life,1967,https://www.youtube.com/watch?v=usNsCeOV4GM,#MV,2019
86,Bush,Glycerine,1994,https://www.youtube.com/watch?v=hOllF3TgAsM,#MV,2019
87,Metallica,Fade To Black,1984,https://www.youtube.com/watch?v=9HZ_tx8aWuA,#MV,2019
88,Stone Temple Pilots,Plush,1993,https://www.youtube.com/watch?v=V5UOC0C0x8Q,#MV,2019
89,Tool,Ãnema,1996,https://www.youtube.com/watch?v=rHcmnowjfrQ,#MV,2019
90,Pearl Jam,Rearviewmirror,1993,https://www.youtube.com/watch?v=eHX_q86-Zpc,#MV,2019
91,Tenacious D,Tribute,2003,https://www.youtube.com/watch?v=lbFqd8DmWyQ,#MV,2019
92,AC/DC,Highway To Hell,1979,https://www.youtube.com/watch?v=l482T0yNkeo,#MV,2019
93,Smashing Pumpkins,Bullet With Butterfly Wings,1995,https://www.youtube.com/watch?v=8-r-V0uK4u0,#MV,2019
94,Arctic Monkeys,505,2007,https://www.youtube.com/watch?v=qU9mHegkTc4,#MV,2019
95,White Stripes,7 Nation Army,2002,https://www.youtube.com/watch?v=0J2QdDbelmY,#MV,2019
96,National,Bloodbuzz Ohio,2010,https://www.youtube.com/watch?v=yfySK7CLEEg,#MV,2019
97,Rammstein,Sonne,2001,https://www.youtube.com/watch?v=StZcUAPRRac,#MV,2019
98,Depeche Mode,Enjoy The Silence,1990,https://www.youtube.com/watch?v=aGSKrC7dGcY,#MV,2019
99,Johan,Tumble And Fall,2001,https://www.youtube.com/watch?v=Q-VhNIuq0f8,#MV,2019
100,Editors,The Racing Rats,2007,https://www.youtube.com/watch?v=KpH697da4KQ,#MV,2019
101,Tool,Stinkfist,1996,https://www.youtube.com/watch?v=6zpvlMp04D0,#MV,2019
102,Iron Maiden,Run To The Hills,1982,https://www.youtube.com/watch?v=86URGgqONvA,#MV,2019
103,dEUS,Suds & Soda,1994,https://www.youtube.com/watch?v=h3r7Oo0Fs-8,#MV,2019
104,3 Doors Down,Kryptonite,1999,https://www.youtube.com/watch?v=xPU8OAjjS4k,#MV,2019
105,Eddie Vedder,Hard Sun,2007,https://www.youtube.com/watch?v=Ez8b2VHjVB0,#MV,2019
106,Audioslave,Like A Stone,2002,https://www.youtube.com/watch?v=7QU1nvuxaMA,#MV,2019
107,Pink Floyd,Wish You Were Here,1975,https://www.youtube.com/watch?v=IXdNnw99-Ic,#MV,2019
108,Foo Fighters,Walk,2011,https://www.youtube.com/watch?v=4PkcfQtibmU,#MV,2019
109,Radiohead,Fake Plastic Trees,1995,https://www.youtube.com/watch?v=n5h0qHwNrHk,#MV,2019
110,My Chemical Romance,Welcome To The Black Parade,2006,https://www.youtube.com/watch?v=RRKJiM9Njr8,#MV,2019
111,Tool,Sober,1992,https://www.youtube.com/watch?v=nspxAG12Cpc,#MV,2019
112,Muse,Hysteria,2003,https://www.youtube.com/watch?v=3dm_5qWWDV8,#MV,2019
113,Buffalo Tom,Taillights Fade,1992,https://www.youtube.com/watch?v=sEjmJ1Ge00U,#MV,2019
114,Green Day,Boulevard Of Broken Dreams,2004,https://www.youtube.com/watch?v=Soa3gO7tL-c,#MV,2019
115,Volbeat,Sad Man's Tongue,2007,https://www.youtube.com/watch?v=5mV_HHL-h6g,#MV,2019
116,Nick Cave & The Bad Seeds,Into My Arms,1997,https://www.youtube.com/watch?v=LnHoqHscTKE,#MV,2019
117,White Lies,Time To Give,2018,https://www.youtube.com/watch?v=vz50W0hM0XE,#MV,2019
118,Slayer,Angel Of Death,1986,https://www.youtube.com/watch?v=TnRZhLRv6eM,#MV,2019
119,Paolo Nutini,Iron Sky,2014,https://www.youtube.com/watch?v=WoCSeIY0xdo,#MV,2019
120,Placebo,Pure Morning,1998,https://www.youtube.com/watch?v=LIxx2NZUUco,#MV,2019
121,Flogging Molly,Drunken Lullabies,2002,https://www.youtube.com/watch?v=89NjEeHku8o,#MV,2019
122,Muse,Uprising,2009,https://www.youtube.com/watch?v=w8KQmps-Sog,#MV,2019
123,David Bowie,Space Oddity,1969,https://www.youtube.com/watch?v=iYYRH4apXDo,#MV,2019
124,Faith No More,Epic,1989,https://www.youtube.com/watch?v=k-V-IDychWI,#MV,2019
125,Guns N' Roses,Sweet Child O' Mine,1987,https://www.youtube.com/watch?v=1w7OgIMMRc4,#MV,2019
126,Nirvana,Where Did You Sleep Last Night (Unplugged),1994,https://www.youtube.com/watch?v=hEMm7gxBYSc,#MV,2019
127,Deep Purple,Child In Time (Album Version),1970,https://www.youtube.com/watch?v=4wAPTsjhrjM,#MV,2019
128,Black Sabbath,Paranoid,1970,https://www.youtube.com/watch?v=0qanF-91aJo,#MV,2019
129,Manic Street Preachers,Motorcycle Emptiness (Album Version),1992,https://www.youtube.com/watch?v=JCgBAj97d2Q,#MV,2019
130,Coldplay,The Scientist,2002,https://www.youtube.com/watch?v=RB-RcX5DS5A,#MV,2019
