position,artist,title,year,youtube_link,spotify_link,base_year
1,Snollebollekes,Links Rechts,2015,https://www.youtube.com/watch?v=pFEDBewcfks,https://open.spotify.com/track/5EcPtaqxmPvgLcB5gRPF2j,2020
2,DJ Paul Elstak,Rainbow In The Sky,1995,https://www.youtube.com/watch?v=NG5vDG-zjmc,https://open.spotify.com/track/2PVqPbRv7mlCp2JYzDeMsc,2020
3,Helene Fischer,Atemlos Durch Die Nacht,2013,https://www.youtube.com/watch?v=r_Bhy6us2qo,https://open.spotify.com/track/1cSXzDZt8vzuUp2XREQEJN,2020
4,Ali B & Yes-R & The Partysquad,Rampeneren,2006,https://www.youtube.com/watch?v=nqej90AuZro,https://open.spotify.com/track/6t2BM5Thoh9b2H9PnbEVKI,2020
5,ABBA,Dancing Queen,1976,https://www.youtube.com/watch?v=xFrGuyw1V8s,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,2020
6,Opgeblazen & Wilbert Pigmans,De Toreador,2019,https://www.youtube.com/watch?v=kGTqZTTzXNU,https://open.spotify.com/track/0NKBmPjar0pPKi9sGMNS0b,2020
7,Spice Girls,Wannabe,1996,https://www.youtube.com/watch?v=gJLIiF15wjQ,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT,2020
8,Snollebollekes,Vrouwkes,2013,https://www.youtube.com/watch?v=Jz0w1EDhYic,https://open.spotify.com/track/1YttCaGuyv7rcrVQ0qRkhc,2020
9,Captain Jack,Captain Jack,1996,https://www.youtube.com/watch?v=0Bb_w7nOBwg,https://open.spotify.com/track/2L5FEDC0MU2a6OEkLjByEd,2020
10,AndrÃ© Hazes Jr.,Leef,2015,https://www.youtube.com/watch?v=2H0yWKdZM8g,https://open.spotify.com/track/4lBkLeU6LNgWzfbWPGm1c9,2020
11,Charly Lownoise & Mental Theo,Wonderfull Days,1994,https://www.youtube.com/watch?v=EjUk98hrnKE,https://open.spotify.com/track/6YycHBWDHCzKccU6yBtHXI,2020
12,Ch!pz,1001 Arabian Nights,2004,https://www.youtube.com/watch?v=mB080FttPWo,https://open.spotify.com/track/2TL9ng664CxAiRs37Hfa2Z,2020
13,Backstreet Boys,I Want It That Way,1999,https://www.youtube.com/watch?v=4fndeDfaWCg,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya,2020
14,Aqua,Barbie Girl,1997,https://www.youtube.com/watch?v=ZyhrYis509A,https://open.spotify.com/track/7kz6GbFr2MCI7PgXJOdq8c,2020
15,Vengaboys,"Boom, Boom, Boom, Boom!!",1998,https://www.youtube.com/watch?v=Prv3wl3X9O4,https://open.spotify.com/track/2Ld2LehpgQNREMxl9LlIzm,2020
16,John Travolta & Olivia Newton-John,The Grease Megamix,1991,https://www.youtube.com/watch?v=Y7_Lg5OAhmY,https://open.spotify.com/track/7xaeJXy9BUSVcBMdVYSYvU,2020
17,Party Animals,Have You Ever Been Mellow,1996,https://www.youtube.com/watch?v=2er9d5hb_Fc,https://open.spotify.com/track/75CLNW6Goi8LZ6rYGDmfHS,2020
18,T-Spoon,Sex On The Beach,1997,https://www.youtube.com/watch?v=lmGbifOOOlU,https://open.spotify.com/track/0IprUQmGWvCtnbcpHj9UIi,2020
19,Guus Meeuwis,Brabant,2002,https://www.youtube.com/watch?v=YaIzl1Tz-so,https://open.spotify.com/track/0GiWi4EkPduFWHQyhiKpRB,2020
20,Conkarah & Shaggy,Banana (DJ FLe Minisiren Remix),2020,https://www.youtube.com/watch?v=sy9l7y7npGs,https://open.spotify.com/track/4o6AIByelb82YnLyqccMjl,2020
21,Meat Loaf,Paradise By The Dashboard Light (Album Version),1977,https://www.youtube.com/watch?v=C11MzbEcHlw,https://open.spotify.com/track/2g7gviEeJr6pyxO7G35EWQ,2020
22,DJ Paul Elstak,Luv U More,1995,https://www.youtube.com/watch?v=kw7XgtHHWmw,https://open.spotify.com/track/4yW7EvENzT9PbPOJ3rCHzQ,2020
23,K3,Oya LÃ©lÃ©,2003,https://www.youtube.com/watch?v=zZ--w92ASdM,https://open.spotify.com/track/25brT5xsqdKuoZqvz3Ubrn,2020
24,Vengaboys,We're Going To Ibiza!,1999,https://www.youtube.com/watch?v=MXXRHpVed3M,https://open.spotify.com/track/0b8PKDeFc2T5u9cRbLLv2r,2020
25,HakkÃ»hbar,Gabbertje,1996,https://www.youtube.com/watch?v=Qz4HfJHxMk4,https://open.spotify.com/track/3bs3S4PjEJ5rCQ0Gv1Cu0b,2020
26,O-Zone,Dragostea Din TeÃ¯,2004,https://www.youtube.com/watch?v=YnopHCL1Jk8,https://open.spotify.com/track/2c3sKqWYVJ0NsE3elgRhKH,2020
27,Cascada,Everytime We Touch,2005,https://www.youtube.com/watch?v=4G6QDNC4jPs,https://open.spotify.com/track/5YJtMNWKe55yr49cyJgxva,2020
28,Anita Meyer,"Why Tell Me, Why",1981,https://www.youtube.com/watch?v=fuluEbNVbBw,https://open.spotify.com/track/1bYgVuthr7VOXDpH6fGfcm,2020
29,Nakatomi,Children Of The Night,1996,https://www.youtube.com/watch?v=GlyfKK38THs,https://open.spotify.com/track/3kgJepRrGMc5nq4LbtFg2B,2020
30,Feestteam & DJ Maurice,Shirt Uit & Zwaaien,2016,https://www.youtube.com/watch?v=3-xSdwXHzDw,https://open.spotify.com/track/1q2jnM9hIlnQtqpuvLM02t,2020
31,Eiffel 65,Blue (Da Ba Dee),1999,https://www.youtube.com/watch?v=68ugkg9RePc,https://open.spotify.com/track/7lMIJ4EFWRVoAIPDpeGyM3,2020
32,Kraantje Pappie & MC Jiggy DjÃ©,Feesttent,2014,https://www.youtube.com/watch?v=0ldPL6W8ZLc,https://open.spotify.com/track/6j8BAXWXFUhghbsYnhwatS,2020
33,Toy-Box,Tarzan & Jane,1999,https://www.youtube.com/watch?v=IlDjEd8gAkI,https://open.spotify.com/track/2R3gfyDoBo0uXZSwTiKysZ,2020
34,Lawineboys & DJ Jerome,Sex Met Die Kale,2010,https://www.youtube.com/watch?v=hBjirDbInmQ,https://open.spotify.com/track/31DSKNhOyK88M3yRVANJfz,2020
35,Charly Lownoise & Mental Theo,Hardcore Feelings,1996,https://www.youtube.com/watch?v=d-ZmcyXmdvM,https://open.spotify.com/track/5dkrf6Z99aJfOtDWSDtafV,2020
36,ABBA,Mamma Mia,1975,https://www.youtube.com/watch?v=unfzfe8f9NI,https://open.spotify.com/track/6UIwfaQh9RP2anZ5OMQPfX,2020
37,Gebroeders Ko,Ik Heb 'n Toeter Op M'n Waterscooter,2003,https://www.youtube.com/watch?v=eHXgA1GYO9U,https://open.spotify.com/track/6BVSCAeRhpIerGXHWUYcUZ,2020
38,Gigi d'Agostino,l'Amour Toujours,1999,https://www.youtube.com/watch?v=w15oWDh02K4,https://open.spotify.com/track/4xGuK7FsXuZwHCCuNnPzbD,2020
39,Marco Borsato,Ik Leef Niet Meer Voor Jou,1996,https://www.youtube.com/watch?v=ZHCDnv6u_P4,https://open.spotify.com/track/45I37gu7jG5JsXyqYm4YDT,2020
40,Nena,99 Luftballons,1983,https://www.youtube.com/watch?v=Fpu5a0Bl8eY,https://open.spotify.com/track/2IJftBfq7pJ43tfnOR0RB3,2020
41,Vinzzent,Dromendans,2010,https://www.youtube.com/watch?v=q8AKb9h4-3M,https://open.spotify.com/track/5CMln9nwRTrlCfwXoz7cEK,2020
42,AC/DC,Thunderstruck,1990,https://www.youtube.com/watch?v=v2AC41dglnM,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,2020
43,Zanger Kafke,Springen,2018,https://www.youtube.com/watch?v=6m3ydrWoEMM,https://open.spotify.com/track/56Y0Rk2Gguz7yqbcjAh33N,2020
44,Backstreet Boys,Everybody (Backstreet's Back),1997,https://www.youtube.com/watch?v=6M6samPEMpM,https://open.spotify.com/track/4rTeOSYqwXNz5qPR2DUTFZ,2020
45,Jeugd Van Tegenwoordig,Sterrenstof,2010,https://www.youtube.com/watch?v=cNMXSKfWfLQ,https://open.spotify.com/track/7D5vAulNfrQV6xEwzgH0OF,2020
46,Paul De Leeuw,Vlieg Met Me Mee (Live),1992,https://www.youtube.com/watch?v=onVy32KGoyE,https://open.spotify.com/track/7kOiUhPjCsl4OZZPgaz1WQ,2020
47,A-Ha,Take On Me,1985,https://www.youtube.com/watch?v=djV11Xbc914,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,2020
