position,artist,title,year,youtube_link,spotify_link,base_year
1,Golden Earring,Radar Love (Album Version),1973,https://www.youtube.com/watch?v=ckM51xoTC2U,https://open.spotify.com/track/4Zau4QvgyxWiWQ5KQrwL43,2025
2,Pearl Jam,Black,1991,https://www.youtube.com/watch?v=qgaRVvAKoqQ,https://open.spotify.com/track/5Xak5fmy089t0FYmh3VJiY,2025
3,Pink Floyd,Comfortably Numb (Album Version),1979,https://www.youtube.com/watch?v=_FrOQC-zEog,https://open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC,2025
4,Led Zeppelin,Stairway To Heaven,1971,https://www.youtube.com/watch?v=QkF3oxziUI4,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc,2025
5,Queen,Bohemian Rhapsody,1975,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,https://open.spotify.com/track/3z8h0TU7ReDPLIbEnYhWZb,2025
6,Eagles,Hotel California,1976,https://www.youtube.com/watch?v=BciS5krYL80,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,2025
7,Black Sabbath,Paranoid,1970,https://www.youtube.com/watch?v=0qanF-91aJo,https://open.spotify.com/track/2z71jdeVcC782NgsYZ6N8q,2025
8,Billy Joel,Piano Man,1973,https://www.youtube.com/watch?v=gxEPV4kolz0,https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ,2025
9,Queen,Love Of My Life,1975,https://www.youtube.com/watch?v=sUJkCXE4sAA,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd,2025
10,Cure,A Forest,1980,https://www.youtube.com/watch?v=RGT4V6JmINA,https://open.spotify.com/track/52Dek8vpROHjxhdB6ql3D4,2025
11,Metallica,Nothing Else Matters,1992,https://www.youtube.com/watch?v=FiyG2Mh80tI,https://open.spotify.com/track/40N7WL7IzHqu8qBZee5M52,2025
12,Ozzy Osbourne,No More Tears,1992,https://www.youtube.com/watch?v=CprfjfN5PRs,https://open.spotify.com/track/4vMOc3tEnbtRCr84X8eABh,2025
13,Depeche Mode,Enjoy The Silence,1990,https://www.youtube.com/watch?v=aGSKrC7dGcY,https://open.spotify.com/track/6WK9dVrRABMkUXFLNlgWFh,2025
14,Rolling Stones,Gimme Shelter,1969,https://www.youtube.com/watch?v=RbmS3tQJ7Os,https://open.spotify.com/track/6H3kDe7CGoWYBabAeVWGiD,2025
15,Coldplay,Fix You,2005,https://www.youtube.com/watch?v=k4V3Mo61fJM,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q,2025
16,Dire Straits,Telegraph Road (Album Version),1982,https://www.youtube.com/watch?v=_4E_924b9SU,https://open.spotify.com/track/0Bg100ruK1ZD7H96rNo6fR,2025
17,Guns N' Roses,November Rain,1991,https://www.youtube.com/watch?v=8SbUC-UaAxE,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM,2025
18,Deep Purple,Child In Time,1970,https://www.youtube.com/watch?v=PfAWReBmxEs,https://open.spotify.com/track/5PRO9N2TF2BZzNMfG7OTrZ,2025
19,Golden Earring,Twilight Zone,1982,https://www.youtube.com/watch?v=a1sf2CzEq0w,https://open.spotify.com/track/6PzkzHvse5Od5l23RC71Pk,2025
20,Pink Floyd,Wish You Were Here,1975,https://www.youtube.com/watch?v=IXdNnw99-Ic,https://open.spotify.com/track/6mFkJmJqdDVQ1REhVfGgd1,2025
21,Disturbed,The Sound Of Silence,2015,https://www.youtube.com/watch?v=u9Dg-g7t2l4,https://open.spotify.com/track/1Cj2vqUwlJVG27gJrun92y,2025
22,Dire Straits,Sultans Of Swing (Album Version),1978,https://www.youtube.com/watch?v=h0ffIJ7ZO4U,https://open.spotify.com/track/37Tmv4NnfQeb0ZgUC4fOJj,2025
