artist,title,year,youtube_link,spotify_link,base_year
10cc,Donna,1972,https://www.youtube.com/watch?v=jw5uhwunzSQ,https://open.spotify.com/track/0BmkLc8PwY27G7zs1mtdDF,1999
10cc,Dreadlock Holiday,1978,https://www.youtube.com/watch?v=fUNTk5xsxk4,https://open.spotify.com/track/1LOZMYF5s8qhW7Rv4w2gun,1999
10cc,Feel The Love (Oomachasaooma),1983,https://www.youtube.com/watch?v=zNSmka_gLck,https://open.spotify.com/track/15vb7UNhJ5c5K4exsUk3B3,2009
10cc,Good Morning Judge,1977,https://www.youtube.com/watch?v=d5jczes_nMI,https://open.spotify.com/track/1fMGRxKRtIKNyaMMGrzInM,2003
10cc,I'm Mandy Fly Me,1975,https://www.youtube.com/watch?v=Wv8N6zSzL7k,https://open.spotify.com/track/4mmWv18Tz155oy6x7PEe3q,2000
10cc,I'm Not In Love (Album Version),1975,https://www.youtube.com/watch?v=cgJckGsR-T0,https://open.spotify.com/track/5HQEmiV2lKnSO6qa2fsR7x,1999
10cc,Silly Love,1974,https://www.youtube.com/watch?v=ifWsOBr4Y9U,https://open.spotify.com/track/5wRl3mIYNoRGUVJJmEw5F6,2007
10cc,The Things We Do For Love,1976,https://www.youtube.com/watch?v=P0rf3_viTxk,https://open.spotify.com/track/6KEWtSOGKpIXGw6l1uJgsR,1999
10cc,The Wall Street Shuffle,1974,https://www.youtube.com/watch?v=foT1ITubs1A,https://open.spotify.com/track/3kXYV44ZUG4ajq89Cr6dK1,1999
1910 Fruitgum Co.,Simon Says,1967,https://www.youtube.com/watch?v=yxQrTwLUGo0,https://open.spotify.com/track/2TdhHtNXvGwbVSkZSQ5Olt,2000
2 Brothers On The 4th Floor,Come Take My Hand,1995,https://www.youtube.com/watch?v=_M70YIBsFOU,https://open.spotify.com/track/6JyxQWqDiiT0NFlNCla1DM,2024
2 Brothers On The 4th Floor,Never Alone,1993,https://www.youtube.com/watch?v=KhQku_7MYI0,https://open.spotify.com/track/4C3DAT3qQq4Prbi8k4zDW2,2016
2 Unlimited,No Limit,1992,https://www.youtube.com/watch?v=7kmEEkECFQw,https://open.spotify.com/track/7pSJmBTlbA4S5zSLsj6Pzz,2015
2Pac,Changes,1998,https://www.youtube.com/watch?v=eXvBjCO19QY,https://open.spotify.com/track/1ofhfV90EnYhEr7Un2fWiv,2015
2Pac,Dear Mama,1995,https://www.youtube.com/watch?v=Mb1ZvUDvLDY,https://open.spotify.com/track/6tDxrq4FxEL2q15y37tXT9,2015
2Pac & Dr. Dre & Roger Troutman,California Love,1995,https://www.youtube.com/watch?v=N0VdRLdg2ng,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35,2016
3 Doors Down,Here Without You,2002,https://www.youtube.com/watch?v=kPBzTxZQG5Q,https://open.spotify.com/track/3NLrRZoMF0Lx6zTlYqeIo4,2012
3 Doors Down,Kryptonite,1999,https://www.youtube.com/watch?v=xPU8OAjjS4k,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,2011
3Js,De Stroom,2011,https://www.youtube.com/watch?v=p69f9wG4VSE,https://open.spotify.com/track/0aykQpkYjKPoSI0Gb4Ffee,2011
3Js,Geloven In Het Leven,2010,https://www.youtube.com/watch?v=zJ8j-NJdpJA,https://open.spotify.com/track/1FQUPfW7zKyiUHMJFr8c8d,2010
3Js,Hou Van Mij,2008,https://www.youtube.com/watch?v=bTH9a_GfHL8,https://open.spotify.com/track/20spLbe6JY99hKf5dA4It3,2021
3Js,Watermensen,2008,https://www.youtube.com/watch?v=OBbafE0MgzE,https://open.spotify.com/track/5i0GCe9HKoiKi8WbFZRTqi,2009
3Js & Ellen Ten Damme,Wat Is Dromen,2010,https://www.youtube.com/watch?v=zh47ojPwsM8,https://open.spotify.com/track/6VitZOhlFRXQlrBqk6NIbU,2010
4 Non Blondes,What's Up,1992,https://www.youtube.com/watch?v=6NXnxTNIWkc,https://open.spotify.com/track/6ZGd4ygnoSk8VDvLUWiuU9,2001
5 Seconds Of Summer,Youngblood,2018,https://www.youtube.com/watch?v=-RJSbO8UZVY,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019
5000 Volts,I'm On Fire,1975,https://www.youtube.com/watch?v=8_T9CI4y4UU,https://open.spotify.com/track/1BIrBq1iQFMaHdBmmfxR08,2001
5th Dimension,Aquarius-Let The Sunshine In,1969,https://www.youtube.com/watch?v=VlrQ-bOzpkQ,https://open.spotify.com/track/0HZlND4giwzgolBpaNIRGV,1999
A Balladeer,Swim With Sam,2006,https://www.youtube.com/watch?v=lflcZf7J8lI,https://open.spotify.com/track/5pjQTliu88z0skACpCOBv5,2007
A-Ha,Hunting High And Low (Remix),1985,https://www.youtube.com/watch?v=s6VaeFCxta8,https://open.spotify.com/track/1cMObxXOvOzCiRNBWYqlWB,2000
A-Ha,Take On Me,1985,https://www.youtube.com/watch?v=djV11Xbc914,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,1999
A-Ha,The Sun Always Shines On T.V.,1985,https://www.youtube.com/watch?v=a3ir9HC9vYg,https://open.spotify.com/track/0HoaLXRp7jJtdQFunUyUGc,2000
ABBA,Angeleyes,1979,https://www.youtube.com/watch?v=OhNo34ohzhE,https://open.spotify.com/track/7rWgGyRK7RAqAAXy4bLft9,2022
ABBA,Chiquitita,1979,https://www.youtube.com/watch?v=p4QqMKe3rwY,https://open.spotify.com/track/762B4bOcXF7I2Y8UlKTyTy,1999
ABBA,Dancing Queen,1976,https://www.youtube.com/watch?v=xFrGuyw1V8s,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,1999
ABBA,Does Your Mother Know,1979,https://www.youtube.com/watch?v=WkL7Fkigfn8,https://open.spotify.com/track/2HPB3px8MJZRMfu1L65Z41,1999
ABBA,Don't Shut Me Down,2021,https://www.youtube.com/watch?v=hWGWFa3jznI,https://open.spotify.com/track/2AHnmlkyZbnxqSA66B7jK3,2022
ABBA,Eagle (Album Version),1977,https://www.youtube.com/watch?v=QuC6yAiaXBw,https://open.spotify.com/track/69OmpIXN0WPreDYxoFwlYC,1999
ABBA,Fernando,1976,https://www.youtube.com/watch?v=dQsjAbZDx-4,https://open.spotify.com/track/18DfvGCMjtxuI8YaX2WjCC,1999
