artist,title,year,base_year,youtube_link
Led Zeppelin,Stairway To Heaven,1971,2016,https://www.youtube.com/watch?v=QkF3oxziUI4
David Bowie,Heroes,1977,2016,https://www.youtube.com/watch?v=lXgkuM2NhYI
Pink Floyd,Wish You Were Here,1975,2016,https://www.youtube.com/watch?v=IXdNnw99-Ic
Bruce Springsteen,Born To Run,1975,2016,https://www.youtube.com/watch?v=IxuThNgl3YA
Deep Purple,Child In Time (Album Version),1970,2016,https://www.youtube.com/watch?v=OorZcOzNcgE
Queen,Bohemian Rhapsody,1975,2016,https://www.youtube.com/watch?v=yk3prd8GER4
Beatles,A Day In The Life,1967,2016,https://www.youtube.com/watch?v=usNsCeOV4GM
Tom Waits,Martha,1973,2016,https://www.youtube.com/watch?v=y9Mse62NFl4
Bob Dylan,Like A Rolling Stone,1965,2016,https://www.youtube.com/watch?v=IwOfCgkyEj0
Prince & The Revolution,Purple Rain,1984,2016,https://www.youtube.com/watch?v=bm03wqLY3Nc
Pink Floyd,Shine On You Crazy Diamond,1975,2016,https://www.youtube.com/watch?v=cWGE9Gi0bB0
Eagles,Hotel California,1976,2016,https://www.youtube.com/watch?v=dLl4PZtxia8
Jacques Brel,Ne Me Quitte Pas,1959,2016,https://www.youtube.com/watch?v=e0esAGxzP6Y
Pearl Jam,Black,1991,2016,https://www.youtube.com/watch?v=qgaRVvAKoqQ
Jimi Hendrix Experience,All Along The Watchtower,1968,2016,https://www.youtube.com/watch?v=TLV4_xaYynY
Dire Straits,Sultans Of Swing (Album Version),1978,2016,https://www.youtube.com/watch?v=h0ffIJ7ZO4U
Bruce Springsteen,The River,1980,2016,https://www.youtube.com/watch?v=lc6F47Z6PI4
Rolling Stones,Gimme Shelter,1969,2016,https://www.youtube.com/watch?v=RbmS3tQJ7Os
John Lennon & Plastic Ono Band,Imagine,1971,2016,https://www.youtube.com/watch?v=YkgkThdzX-8
Led Zeppelin,Kashmir,1975,2016,https://www.youtube.com/watch?v=PD-MdiUm1_Y
Gorki,Mia,1992,2016,https://www.youtube.com/watch?v=YdskK0FdACQ
Neil Young,Like A Hurricane (Album Version),1977,2016,https://www.youtube.com/watch?v=NzgXx7Ol-Bg
Fleetwood Mac,Go Your Own Way,1976,2016,https://www.youtube.com/watch?v=ozl3L9fhKtE
David Bowie,Space Oddity,1969,2016,https://www.youtube.com/watch?v=iYYRH4apXDo&pp=0gcJCfwAo7VqN5tD
Cure,A Forest,1980,2016,https://www.youtube.com/watch?v=xik-y0xlpZ0
Smiths,There Is A Light That Never Goes Out,1986,2016,https://www.youtube.com/watch?v=siO6dkqidc4
Jeff Buckley,Hallelujah,1994,2016,https://www.youtube.com/watch?time_continue=9&v=y8AWFf7EAc4
Pearl Jam,Alive,1992,2016,https://www.youtube.com/watch?v=qM0zINtulhM
Cockney Rebel,Sebastian,1973,2016,https://www.youtube.com/watch?v=Rq481utZ8yE
Doors,Riders On The Storm,1971,2016,https://www.youtube.com/watch?v=7G2-FPlvY58
Lou Reed,Perfect Day,1972,2016,https://www.youtube.com/watch?v=9wxI4KK9ZYo
Bruce Springsteen,Thunder Road,1975,2016,https://www.youtube.com/watch?v=UDIDawmeeI0
Jacques Brel,La Chanson Des Vieux Amants,1967,2016,https://www.youtube.com/watch?v=uA0UJoNLMSo
Radiohead,Paranoid Android,1997,2016,https://www.youtube.com/watch?v=fHiGbolFFGw
Beach Boys,God Only Knows,1966,2016,https://www.youtube.com/watch?v=NADx3-qRxek
Nirvana,Smells Like Teen Spirit,1991,2016,https://www.youtube.com/watch?v=hTWKbfoikeg
Nick Cave & The Bad Seeds,Into My Arms,1997,2016,https://www.youtube.com/watch?v=LnHoqHscTKE&pp=0gcJCf8Ao7VqN5tD
Billy Joel,Piano Man,1973,2016,https://www.youtube.com/watch?v=gxEPV4kolz0
Sinéad O'Connor,Troy,1987,2016,https://www.youtube.com/watch?v=0c4v7fp5GC8
Rolling Stones,"Paint It, Black",1966,2016,https://www.youtube.com/watch?v=O4irXQhgMqg
Amy Winehouse,Back To Black,2006,2016,https://www.youtube.com/watch?v=TJAfLE39ZZ8
Patti Smith Group,Because The Night,1978,2016,https://www.youtube.com/watch?v=c_BcivBprM0
Prince,Sign 'O' The Times,1987,2016,https://www.youtube.com/watch?v=8EdxM72EZ94
T.C. Matic,O La La La (C'est Magnifique),1981,2016,https://www.youtube.com/watch?v=rS1jI4LQbvQ
Dire Straits,Brothers In Arms,1985,2016,https://www.youtube.com/watch?v=jhdFe3evXpk
Rolling Stones,Sympathy For The Devil,1968,2016,https://www.youtube.com/watch?v=GgnClrx8N2k
Neil Young,Heart Of Gold,1972,2016,https://www.youtube.com/watch?v=c7eB7Wns1-M
Doors,The End,1967,2016,https://www.youtube.com/watch?v=BXqPNlng6uI
Rolling Stones,Angie,1973,2016,https://www.youtube.com/watch?v=RcZn2-bGXqQ
Joy Division,Love Will Tear Us Apart,1980,2016,https://www.youtube.com/watch?v=zuuObGsB0No
Beatles,Hey Jude,1968,2016,https://www.youtube.com/watch?v=A_MjCqQoLLA
Black Sabbath,Paranoid,1970,2016,https://www.youtube.com/watch?v=0qanF-91aJo
Raymond Van Het Groenewoud,Twee Meisjes,1996,2016,https://www.youtube.com/watch?v=tDktQhssr1Q
ABBA,Dancing Queen,1976,2016,https://www.youtube.com/watch?v=xFrGuyw1V8s
R.E.M.,Losing My Religion,1991,2016,https://www.youtube.com/watch?v=xwtdhWltSIg
Adamo,Inch' Allah,1967,2016,https://www.youtube.com/watch?v=UPksrwbFCf0
Radiohead,Creep,1992,2016,https://www.youtube.com/watch?v=XFkzRNyygfk
Rolling Stones,(I Can't Get No) Satisfaction,1965,2016,https://www.youtube.com/watch?v=nrIPxlFzDi0
Depeche Mode,Enjoy The Silence,1990,2016,https://www.youtube.com/watch?v=aGSKrC7dGcY&pp=0gcJCfwAo7VqN5tD
Pink Floyd,Comfortably Numb (Album Version),1979,2016,https://www.youtube.com/watch?v=x-xTttimcNk
Wim De Craene,Tim,1975,2016,https://www.youtube.com/watch?v=dJAplfbJlmM
