artist,title,year,youtube_link,spotify_link,base_year
10cc,Dreadlock Holiday,1978,https://www.youtube.com/watch?v=fUNTk5xsxk4,https://open.spotify.com/track/1LOZMYF5s8qhW7Rv4w2gun,2016
10cc,I'm Not In Love,1975,https://www.youtube.com/watch?v=STugQ0X1NoI,https://open.spotify.com/track/4hNRDR5P1ik9ngRAjEQJRR,2016
10cc,The Things We Do For Love,1976,https://www.youtube.com/watch?v=P0rf3_viTxk,https://open.spotify.com/track/6KEWtSOGKpIXGw6l1uJgsR,2017
10cc,The Wall Street Shuffle,1974,https://www.youtube.com/watch?v=foT1ITubs1A,https://open.spotify.com/track/3kXYV44ZUG4ajq89Cr6dK1,2017
16 Horsepower,Black Soul Choir,1996,https://www.youtube.com/watch?v=f-vpAn15-vE,https://open.spotify.com/track/6ziQDVHvXcKm7N78CBNjY6,2016
2 Belgen,Lena,1985,https://www.youtube.com/watch?v=1Fha3sFxXss,https://open.spotify.com/track/3k3MI0oueRWQNmt4VFRm4k,2016
3 Doors Down,Kryptonite,1999,https://www.youtube.com/watch?v=xPU8OAjjS4k,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,2020
A Flock Of Seagulls,Wishing (If I Had A Photograph Of You),1982,https://www.youtube.com/watch?v=opkzgLMH5MA,https://open.spotify.com/track/4aUrHS52GTOg6DCxRRxQsm,2023
A Tribe Called Quest,Can I Kick It,1990,https://www.youtube.com/watch?v=7D_JwgIM-y4,https://open.spotify.com/track/3Ti0GdlrotgwsAVBBugv0I,2023
A Tribe Called Quest,I Left My Wallet In El Segundo,1990,https://www.youtube.com/watch?v=WILyWmT2A-Q,https://open.spotify.com/track/15Xdlu0QaiEy3YFTf4xpUA,2016
A-Ha,Take On Me,1985,https://www.youtube.com/watch?v=djV11Xbc914,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,2019
ABBA,Dancing Queen,1976,https://www.youtube.com/watch?v=xFrGuyw1V8s,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,2016
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979,https://www.youtube.com/watch?v=XEjLoHdbVeE,https://open.spotify.com/track/3vkQ5DAB1qQMYO4Mr9zJN6,2021
ABBA,"Knowing Me, Knowing You",1976,https://www.youtube.com/watch?v=iUrzicaiRLU,https://open.spotify.com/track/46ou4l4zvrZMada0TgoVH9,2016
ABBA,S.O.S.,1975,https://www.youtube.com/watch?v=cvChjHcABPA,https://open.spotify.com/track/6yZv0Nl6BXABbXoPVpfF5y,2016
ABBA,The Day Before You Came,1982,https://www.youtube.com/watch?v=1HnOFwqpLRQ,https://open.spotify.com/track/6W26h4KbGUnEaav5VWIyJm,2017
ABBA,The Winner Takes It All,1980,https://www.youtube.com/watch?v=92cwKCU8Z5c,https://open.spotify.com/track/3oEkrIfXfSh9zGnE7eBzSV,2017
ABBA (Bj̦rn & Benny & Anna & Frida),Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,https://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk,2018
ABC,All Of My Heart,1982,https://www.youtube.com/watch?v=Lfph3043yZU,https://open.spotify.com/track/5OtbeQksu0wey8lWQ7fYgR,2025
ABC,The Look Of Love,1982,https://www.youtube.com/watch?v=cNEdxZURTaI,https://open.spotify.com/track/6HvUtPLqkP0t6zd6YNdWby,2017
AC/DC,Highway To Hell,1979,https://www.youtube.com/watch?v=l482T0yNkeo,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,2016
AC/DC,Let There Be Rock,1977,https://www.youtube.com/watch?v=3f2g4RMfhS0,https://open.spotify.com/track/753KutoAy00apPsplMRetG,2016
AC/DC,Thunderstruck,1990,https://www.youtube.com/watch?v=v2AC41dglnM,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,2016
AC/DC,Whole Lotta Rosie,1977,https://www.youtube.com/watch?v=BL58K-3XGKs,https://open.spotify.com/track/4wYq5wugZDzQiMZQYG4wVB,2016
Absynthe Minded,Envoi,2009,https://www.youtube.com/watch?v=4Wys9VzF-_E,https://open.spotify.com/track/4ICTkkByHCpjtnXQcwXjeR,2016
Absynthe Minded,"My Heroics, Part One",2005,https://www.youtube.com/watch?v=_5NQshBWorA,https://open.spotify.com/track/2ZSHbGrO7VDM0UviKa46oI,2016
Adamo,C'est Ma Vie,1975,https://www.youtube.com/watch?v=KjP01gwxNSo,https://open.spotify.com/track/6VJzONpOl2bzjOrbqJW2Sf,2018
